,lead_id,product,is_referral,referal_cost,device,marketing_source,lead_cost,unqualified_lead,qualified_lead,meeting_appointment,meeting,sale
0,154236.0,Main Product,True,1000.0,,,0.0,2021-07-01,2021-07-01,,,
1,193988.0,Main Product,False,0.0,Mobile,Search Network,33.743385,2021-07-01,2021-07-03,,,
2,101517.0,Main Product,False,0.0,Mobile,Paid Search,31.8889725,2021-07-01,2021-07-01,2021-07-09,2021-07-10,2021-07-16
3,101634.0,Main Product,False,0.0,Mobile,Direct Traffic,0.0,2021-07-01,,,,
4,165569.0,Main Product,False,0.0,Mobile,Search Network,39.631895,2021-07-01,2021-07-01,,,
5,120441.0,Main Product,False,0.0,Mobile,Social Media,11.8307075,2021-07-01,2021-07-01,,,
6,151464.0,Main Product,False,0.0,Mobile,Paid Search,35.8162325,2021-07-01,2021-07-01,2021-07-24,2021-07-26,2021-07-29
7,114989.0,Main Product,False,0.0,Mobile,Paid Search,46.9923025,2021-07-01,2021-07-01,2021-07-08,2021-07-12,2021-07-23
8,118132.0,Main Product,False,0.0,Mobile,Search Network,53.5225375,2021-07-01,2021-07-03,,,
9,126480.0,Main Product,False,0.0,Mobile,Social Media,23.0238575,2021-07-01,2021-07-03,,,
10,159129.0,Main Product,False,0.0,Mobile,Organic Search,0.0,2021-07-01,2021-07-01,,,
11,127309.0,Main Product,False,0.0,Mobile,Organic Search,0.0,2021-07-01,2021-07-01,2021-07-01,2021-07-04,2021-07-28
12,126176.0,Main Product,False,0.0,Mobile,Paid Search,49.8315375,2021-07-01,2021-07-03,,,
13,181050.0,Main Product,False,0.0,Mobile,Paid Search,36.72611,2021-07-01,2021-07-03,,,
14,173306.0,Main Product,False,0.0,Mobile,Paid Search,35.8792275,2021-07-01,,,,
15,134906.0,Main Product,False,0.0,Mobile,Social Media,14.11874,2021-07-01,,,,
16,161147.0,Main Product,False,0.0,Mobile,Search Network,32.978125,2021-07-01,2021-07-01,,,
17,122962.0,Main Product,False,0.0,Mobile,Paid Search,47.64705,2021-07-01,2021-07-01,,,
18,192021.0,Main Product,False,0.0,Mobile,Direct Traffic,0.0,2021-07-01,2021-07-01,,,
19,190860.0,Main Product,False,0.0,Mobile,Social Media,9.5031025,2021-07-01,2021-07-01,,,
20,183266.0,Main Product,False,0.0,Mobile,Paid Search,48.004615,2021-07-01,,,,
21,140124.0,Main Product,False,0.0,Mobile,Paid Search,24.7101225,2021-07-01,2021-07-01,,,
22,104425.0,Main Product,False,0.0,Mobile,Search Network,41.136015,2021-07-01,2021-07-01,,,
23,149090.0,Main Product,False,0.0,Mobile,Paid Search,47.7181425,2021-07-01,2021-07-04,,,
24,128333.0,Main Product,False,0.0,Mobile,Social Media,24.810335,2021-07-01,2021-07-04,,,
25,134083.0,Main Product,False,0.0,Desktop,Paid Search,27.477035,2021-07-01,2021-07-01,2021-07-06,2021-07-11,2021-07-30
26,147336.0,Main Product,False,0.0,Desktop,Social Media,12.28339,2021-07-01,2021-07-01,2021-07-20,2021-07-21,2021-07-23
27,145788.0,Main Product,False,0.0,Desktop,Social Media,7.24343,2021-07-01,2021-07-02,2021-07-07,2021-07-09,
28,139098.0,Main Product,False,0.0,Desktop,Paid Search,28.3412125,2021-07-01,2021-07-02,2021-07-14,2021-07-17,
29,113400.0,Main Product,False,0.0,Desktop,Paid Search,47.662705,2021-07-01,2021-07-01,,,
30,119812.0,Main Product,False,0.0,Desktop,Search Network,52.136545,2021-07-01,2021-07-01,,,
31,158180.0,Main Product,False,0.0,Desktop,Paid Search,41.74267,2021-07-01,2021-07-01,,,
32,123468.0,Main Product,False,0.0,Desktop,Social Media,14.10126,2021-07-01,2021-07-01,2021-07-23,,
