id,monthly_spending
3D2E7EA4,48000 к
85C27C17,29000 - 39000 тр
362E1CB2,151 тыс руб
64B537AB,130000 - 166000 т р
524D168B,13 тр
4B3DDA1E,22 k
23AFA0EC,75000 тыс
9824EDE2,41 т
6776C3A6,54000 k
CB3593DA,86 k
4774C88E,74000 тыс руб
321053D1,134 т
6F178FE5,75000 - 86000 тыс р
2543B82E,39 тыс руб
FEC19BED,181000 - 197000 тыс
28848105,17000 тр
3B7B1E76,74000 тыс руб
2464AD44,29000 т
E5D5AFAE,20000 т р
06061886,12 - 13 к
F85DD143,47 - 57 к
B2907C77,132 - 153 тыс
AB4777C5,196000 к
56B885E4,109 тыс р
23F7D3D1,30 тыс
E4E21C5C,615 - 731 k
1675E7AC,11000 тыс
FD37F87E,114000 - 129000 k
002E5B15,26 тр
844A1D8D,73000 - 75000 k
5A46E1AF,21000
CB2190E0,46000
A5A5A0FE,55 т р
FE71D15F,37 k
7BF3D421,197 тыс р
A0A4B911,83 тыс
ECF2EB8D,180000 т
6EBCFABA,85000 - 92000 т
ACF5EB93,671000 k
4F52814B,32000 тыс
83A3FC5B,28000 k
49C791C5,36000 т
6CBFC9D4,141 тыс р
E820AAF1,16 - 32 т р
F53C054E,57 т р
81FBA441,35000 тр
33072F85,81 - 95 k
5D2CE98C,55000 к
BFBC7814,17 тыс
17000F0B,152 - 155 тыс
F796E0AD,94 т
626F7A96,110000 k
1BA5991A,101 тыс
7A281D7D,138000 - 176000 т р
808D5E7E,36 т
3073651F,25 т
D3A9C19F,193 тыс
4E5E0192,109 т
EBC362F6,192 - 195 k
86820542,182 т р
68ED4B5C,166000 k
3BE3D712,56000 к
A7479A0B,23000 т
3272EA80,133000 тыс р
68D90CA0,100 тыс
B31AE04A,23000 k
DEAC9A9B,40 к
4A365E21,41000 - 66000 т
C389888C,68 k
E53CFE84,57 - 68 тр
16EE93AF,27000 тыс руб
FA31D906,21 т р
139DED26,193000 т
6533094F,197000 т р
633898E3,100000 тыс руб
F06B919D,272000 тыс
6CFEF0B3,105 тыс руб
77F029DB,375000 тыс
BEB8C60E,41 т
F389B72E,324000 к
DEA0FBF0,52000 тр
6965F4EF,79 т р
6ED9AE5C,63 тыс р
490A69A4,726 тыс руб
2030A41F,160 тыс р
AF8BD164,79 - 82 тыс руб
6AD0DB04,66 k
F41681F4,94 - 96 тыс руб
84104BD0,75 тыс руб
B6781BD3,43 тыс
D8FBDA19,37000 - 39000 т р
41902460,150000 т
C352A6CC,373 тр
22B12253,28000 т р
4C4FFCDA,369000 тыс руб
7A7E195E,46 тыс р
78D17FBA,83 тр
6AA9BCBE,23 тыс руб
704E6FE4,27 k
F7C2D96E,38 т
1C5B7FE6,31 т
A0E85F83,323 тыс
71690BBC,80000 - 84000 тыс р
3CFD3E25,41 - 48 т
B9413DDD,31 тыс
BC8AA5B0,65000 - 81000 k
C4DE14EE,156 - 184 тыс р
7939408F,313000 тр
CC596918,286000 тыс руб
31B8EEA9,96 к
72BAAF37,72 - 85 тыс
5D4EDF5D,157 тыс
BEDEE1CA,150 тыс р
404B90E8,194 - 196 тр
4F93946D,19 тыс
EA08833D,153 тыс руб
5B47B483,132000 т
76037051,152 k
C1EF6D6D,76 тыс руб
548940FE,15 т р
C96EF92B,13 т р
08B79720,24 тыс р
1391F2DF,174000 - 194000 тыс р
C1C8DCA1,85 т р
CFF5CDE6,63000 тыс руб
8E142DF9,196 т
9F9F1FE5,158 тыс руб
3B8D5BCE,97000
01813287,49 - 87 т р
19D5CCBD,90 т
5AD02370,96 - 98 k
39EE7875,96 k
CADABC51,53000 - 66000 тыс р
5F367584,9 к
FD497914,26000 тыс руб
33F41A54,52 - 99 т р
DAF9F854,555 - 646 тыс р
BBCA552B,55000 т
C5F8E9D6,81000 т р
8751DDA1,40 тыс р
155ABDC5,126 - 169 тыс руб
892868DC,72000 к
8F36F99B,71000 - 95000 т
326C2758,15 тыс
D4300CB2,51 тыс руб
A4310FF8,54 k
0442200E,47000 тыс р
5EA12DE6,97 тр
9C617CFC,183 т р
36375FE6,143000 к
ADCFF496,605000 тр
320E0DDE,37 т р
2386BEC7,63 т
018EF24C,92000 - 94000 k
8B9D560F,139000 - 179000 тыс руб
3565E8FF,61000 тыс
DED27A68,37 т р
C3ED3E6C,37 - 38 к
59BDD111,127000 - 174000 тыс руб
57EB389B,65 т
E305574F,63 тыс р
E5C88C8A,31000 т
FF254097,91 тр
4E3326D5,292 k
3E5F7495,59000 - 73000 тыс р
69373F25,59 тр
ECF4EA1C,37000 - 39000 k
99F42AAB,20000 тыс руб
F72403CD,29000 k
071F826D,121 тыс р
4980927D,726 - 776 k
9D5D99CD,135 тыс руб
DF32C041,39 тыс
AB9504AE,29000 - 30000 к
FBC0E7DE,19000 тыс
75C3E6ED,14000 k
1B725B31,442 k
37367004,61000 к
C78FC60D,96 - 98 тр
71F9A53F,89 т р
